ticket_id,customer_id,issue_category,priority,resolution_time_hours,satisfaction_score,created_date
5724,43566,Bug Report,High,36,2,2023-05-07
5725,37321,Bug Report,Low,51,3,2024-08-02
5726,13981,Feature Request,High,28,3,2023-07-22
5727,39537,Bug Report,Critical,34,3,2022-01-17
5728,27996,Login Issue,Low,42,5,2023-03-24
5729,33593,Login Issue,Medium,14,2,2025-02-20
5730,11301,Account Access,Medium,66,1,2022-08-29
5731,49633,Performance,Critical,17,5,2022-03-22
5732,14423,Login Issue,Low,32,5,2022-02-09
5733,48241,Billing,Critical,62,5,2024-05-12
5734,43330,Billing,High,39,1,2022-01-02
5735,39119,Feature Request,Critical,16,3,2022-01-04
5736,32868,Bug Report,High,51,4,2022-10-29
5737,3077,Performance,High,55,5,2023-05-21
5738,29948,Performance,High,10,2,2022-01-24
5739,4382,Performance,High,71,4,2022-01-30
5740,43320,Billing,Low,7,1,2023-05-24
5741,11182,Account Access,Critical,20,2,2022-09-20
5742,5150,Login Issue,Critical,15,3,2024-06-30
5743,10733,Performance,Critical,13,4,2022-02-20
5744,31422,Billing,Low,70,1,2022-08-26
5745,4972,Bug Report,Critical,31,5,2025-03-31
5746,15733,Bug Report,Low,15,1,2022-03-03
5747,36607,Performance,Medium,49,2,2023-06-02
5748,48711,Performance,Medium,13,2,2022-11-01
5749,26441,Bug Report,Medium,17,1,2022-11-06
5750,27753,Billing,High,42,3,2024-11-06
5751,1787,Login Issue,Low,10,2,2022-01-26
5752,27259,Bug Report,High,19,1,2025-03-14
5753,28950,Login Issue,Critical,26,2,2023-10-25
5754,1505,Billing,Medium,48,2,2022-05-19
5755,15419,Bug Report,High,36,3,2023-11-04
5756,4331,Performance,Critical,71,5,2024-07-23
5757,27534,Billing,Low,23,1,2023-07-08
5758,33029,Feature Request,Low,48,2,2023-01-12
5759,14038,Bug Report,High,39,5,2023-01-22
5760,47424,Performance,Critical,36,5,2023-03-19
5761,5756,Billing,Medium,34,1,2022-11-15
5762,46798,Performance,Critical,66,1,2025-01-07
5763,25719,Billing,Low,25,3,2022-08-02
5764,22508,Performance,Critical,28,3,2023-04-05
5765,538,Performance,High,22,4,2024-09-24
5766,20749,Account Access,Medium,65,3,2022-08-16
5767,21408,Billing,Medium,50,4,2024-09-16
5768,31259,Bug Report,Medium,5,3,2024-11-02
5769,24348,Account Access,Low,60,1,2022-03-17
5770,46805,Billing,High,32,5,2022-08-06
5771,35892,Performance,High,21,2,2024-09-22
5772,8297,Billing,Low,11,3,2024-08-03
5773,34265,Performance,High,10,2,2023-10-12
5774,12632,Performance,Critical,32,3,2022-03-14
5775,23024,Feature Request,Low,58,2,2024-03-23
5776,2617,Feature Request,Critical,25,2,2024-08-14
5777,7632,Performance,High,21,5,2022-05-19
5778,39537,Bug Report,Medium,29,3,2022-12-31
5779,48900,Account Access,Medium,55,1,2023-05-14
5780,19290,Performance,Low,51,1,2023-10-16
5781,32709,Billing,Medium,65,2,2022-09-01
5782,22218,Feature Request,Critical,34,2,2022-06-06
5783,40258,Login Issue,Medium,12,4,2023-05-16
5784,12966,Billing,Medium,40,5,2022-10-12
5785,1977,Login Issue,Critical,68,5,2022-03-01
5786,21818,Performance,High,15,2,2022-03-20
5787,35038,Account Access,Medium,20,4,2022-04-04
5788,4097,Performance,High,46,1,2023-10-26
5789,16986,Feature Request,High,52,2,2024-12-07
5790,17486,Account Access,High,3,1,2023-06-03
5791,2,Login Issue,Low,12,4,2023-08-09
5792,39516,Login Issue,Critical,41,1,2023-07-05
5793,49042,Account Access,Low,16,4,2023-09-13
5794,49126,Login Issue,High,1,5,2023-04-08
5795,41678,Feature Request,Critical,28,3,2022-03-22
5796,29295,Billing,Critical,27,4,2024-02-07
5797,17263,Billing,Critical,29,4,2022-10-19
5798,2137,Feature Request,Medium,24,5,2024-06-17
5799,6740,Performance,High,70,2,2024-01-07
5800,47484,Feature Request,High,42,3,2022-04-06
5801,16476,Account Access,Critical,16,2,2023-07-12
5802,8350,Account Access,Low,46,1,2025-03-07
5803,47153,Login Issue,High,68,1,2022-10-25
5804,40241,Performance,Critical,20,3,2024-02-15
5805,46527,Performance,Medium,16,3,2022-11-09
5806,39582,Billing,Low,16,3,2022-01-10
5807,37329,Login Issue,Medium,15,1,2022-03-08
5808,2286,Billing,High,17,2,2022-07-19
5809,21850,Feature Request,Low,72,4,2023-02-12
5810,7313,Performance,High,22,5,2022-12-07
5811,49416,Billing,High,21,1,2024-02-18
5812,36099,Bug Report,Low,9,1,2024-01-14
5813,4664,Account Access,Low,45,2,2025-03-22
5814,516,Login Issue,High,16,3,2022-01-26
5815,37169,Account Access,Low,5,1,2024-09-11
5816,43261,Login Issue,Low,23,1,2024-09-05
5817,26221,Account Access,Critical,63,3,2023-01-07
5818,42832,Performance,High,21,4,2023-10-17
5819,15368,Performance,Low,12,1,2024-07-27
5820,11839,Bug Report,Low,30,1,2022-04-27
5821,497,Performance,Critical,1,3,2022-11-29
5822,23440,Billing,High,53,5,2024-05-06
5823,38303,Feature Request,Low,59,4,2022-07-27
5824,39401,Billing,High,29,4,2024-07-26
5825,24474,Billing,High,20,5,2025-02-17
5826,15448,Feature Request,Medium,48,5,2023-01-16
5827,34421,Bug Report,High,25,3,2024-12-16
5828,43533,Performance,Low,58,1,2023-08-07
5829,41826,Login Issue,High,44,4,2023-09-13
5830,46414,Bug Report,High,36,2,2023-10-17
5831,19640,Login Issue,Medium,3,3,2024-04-16
5832,43884,Bug Report,Critical,46,1,2022-05-13
5833,461,Account Access,Low,68,4,2024-04-03
5834,34112,Billing,Low,40,4,2022-10-02
5835,42598,Bug Report,Low,11,2,2024-04-09
5836,13774,Account Access,Low,65,4,2024-09-30
5837,47707,Feature Request,High,9,5,2024-04-24
5838,23670,Account Access,Low,3,4,2025-01-30
5839,13424,Billing,Low,25,5,2025-01-23
5840,38608,Bug Report,Low,6,2,2022-03-01
5841,18523,Feature Request,High,34,1,2022-04-20
5842,16202,Account Access,Critical,43,3,2024-01-26
5843,44979,Billing,High,49,3,2022-03-03
5844,16021,Billing,Low,6,5,2024-04-06
5845,35857,Billing,High,29,4,2023-01-20
5846,35323,Account Access,Low,35,3,2022-06-19
5847,26186,Billing,Medium,24,2,2023-06-11
5848,16118,Login Issue,High,2,2,2024-01-05
5849,16933,Login Issue,Medium,45,3,2022-05-07
5850,40962,Account Access,High,14,1,2023-10-02
5851,41533,Bug Report,Low,8,4,2025-01-08
5852,36612,Performance,Low,70,2,2024-02-27
5853,23245,Account Access,Critical,55,2,2024-06-26
5854,19281,Bug Report,High,54,4,2024-10-31
5855,6809,Performance,Critical,15,2,2022-01-17
5856,11771,Feature Request,High,69,5,2022-12-16
5857,7470,Login Issue,Medium,6,4,2024-01-18
5858,19904,Billing,High,43,2,2023-04-14
5859,14655,Account Access,High,38,5,2024-09-10
5860,41966,Feature Request,Low,22,2,2022-09-17
5861,40810,Billing,High,5,2,2024-10-24
5862,32345,Billing,Low,41,3,2023-12-13
5863,36052,Billing,Low,56,1,2024-01-13
5864,7383,Account Access,High,17,3,2024-02-01
5865,23055,Login Issue,High,4,3,2024-07-15
5866,14082,Performance,Critical,49,4,2023-10-31
5867,6725,Billing,Low,22,4,2022-01-13
5868,41026,Billing,Medium,37,1,2023-07-24
5869,46081,Bug Report,Medium,20,1,2022-10-09
5870,31684,Billing,High,27,2,2022-01-12
5871,46802,Login Issue,Medium,14,2,2022-12-23
5872,48346,Bug Report,High,22,4,2022-05-02
5873,2355,Feature Request,Critical,65,5,2022-03-16
5874,16874,Billing,Critical,71,2,2023-08-10
5875,34827,Login Issue,Medium,55,2,2023-03-03
5876,8530,Billing,Low,42,1,2022-07-07
5877,15896,Feature Request,Medium,41,5,2022-08-06
5878,27821,Login Issue,Medium,62,2,2024-04-19
5879,30985,Billing,High,45,2,2023-08-25
5880,37454,Bug Report,High,28,3,2023-01-22
5881,16948,Account Access,Critical,38,3,2022-02-10
5882,20900,Bug Report,Low,34,3,2024-01-27
5883,27941,Account Access,High,14,3,2023-10-07
5884,42843,Login Issue,Critical,38,2,2024-05-08
5885,49868,Login Issue,Critical,19,2,2024-04-15
5886,22365,Feature Request,Medium,4,1,2022-12-10
5887,33662,Billing,Low,59,3,2022-01-29
5888,20005,Login Issue,Medium,36,2,2023-10-20
5889,3575,Login Issue,Low,55,1,2025-01-19
5890,32341,Feature Request,Low,58,3,2023-05-24
5891,21278,Account Access,Critical,6,4,2022-04-30
5892,38072,Login Issue,Critical,19,2,2024-06-07
5893,25739,Account Access,High,24,2,2022-08-01
5894,1520,Billing,Critical,15,3,2022-10-02
5895,22965,Login Issue,Low,72,4,2024-10-27
5896,40730,Bug Report,Medium,29,4,2022-09-01
5897,10874,Account Access,Critical,40,5,2022-01-09
5898,38639,Login Issue,Medium,43,4,2023-06-08
5899,31619,Account Access,Critical,29,4,2023-01-09
5900,12911,Feature Request,High,26,2,2024-01-30
5901,1504,Bug Report,High,69,1,2024-12-06
5902,26645,Account Access,Critical,41,4,2023-02-27
5903,17771,Login Issue,Critical,59,2,2022-11-20
5904,6489,Performance,Low,34,3,2022-05-10
5905,22667,Bug Report,Medium,39,3,2024-12-17
5906,38898,Billing,Low,13,3,2023-11-02
5907,30926,Login Issue,Medium,59,1,2023-11-15
5908,26770,Billing,High,8,1,2023-07-19
5909,21523,Account Access,High,2,3,2024-07-17
5910,18029,Feature Request,Medium,72,1,2022-03-05
5911,4397,Login Issue,High,19,1,2023-10-03
5912,15157,Login Issue,Critical,52,2,2024-02-12
5913,5205,Login Issue,High,13,5,2022-05-25
5914,41733,Performance,Medium,52,2,2023-09-19
5915,45254,Billing,Critical,45,3,2024-09-14
5916,35308,Feature Request,Critical,3,3,2024-12-17
5917,23330,Bug Report,Critical,38,5,2024-09-09
5918,6683,Billing,High,6,5,2022-02-05
5919,25700,Account Access,Critical,36,4,2023-10-18
5920,36124,Bug Report,Low,33,4,2022-07-25
5921,48243,Performance,Medium,57,5,2023-07-24
5922,29886,Login Issue,Low,63,4,2023-04-07
5923,33066,Performance,Medium,5,5,2023-06-08
5924,27068,Login Issue,Low,51,5,2023-09-24
5925,41195,Bug Report,Low,1,3,2025-03-27
5926,1891,Bug Report,Low,40,1,2023-09-08
5927,21078,Performance,Low,5,3,2024-06-09
5928,2853,Login Issue,Low,47,5,2022-01-27
5929,27440,Account Access,High,28,2,2024-04-12
5930,17709,Billing,Critical,1,3,2023-10-24
5931,22120,Bug Report,High,30,3,2024-06-24
5932,41937,Login Issue,Medium,30,2,2023-10-20
5933,25251,Login Issue,High,51,1,2023-11-07
5934,9436,Billing,Low,64,3,2022-04-23
5935,23900,Bug Report,Critical,56,2,2022-06-05
5936,30297,Feature Request,High,15,4,2023-02-03
5937,48917,Bug Report,Medium,1,1,2022-01-12
5938,5919,Performance,Low,55,1,2023-11-06
5939,35430,Account Access,Critical,27,2,2022-06-15
5940,7096,Account Access,Critical,41,5,2022-10-18
5941,4350,Feature Request,Critical,51,2,2022-06-08
5942,46867,Feature Request,High,8,3,2022-09-04
5943,9972,Feature Request,High,71,4,2022-09-05
5944,530,Feature Request,Low,17,2,2023-09-21
5945,17402,Performance,Critical,47,3,2024-08-14
5946,27287,Performance,High,8,5,2024-03-14
5947,8343,Bug Report,Low,68,3,2024-08-08
5948,15537,Billing,Medium,2,2,2024-01-16
5949,29590,Bug Report,Low,68,1,2024-12-28
5950,42099,Login Issue,High,46,4,2022-05-08
5951,31615,Account Access,Medium,60,4,2023-11-30
5952,13182,Login Issue,Low,37,4,2022-04-03
5953,28139,Login Issue,High,38,1,2024-08-26
5954,6637,Login Issue,Low,23,4,2022-02-14
5955,18533,Billing,Medium,72,2,2022-01-02
5956,33546,Account Access,High,34,2,2022-09-19
5957,17947,Billing,Critical,14,2,2022-07-27
5958,3346,Bug Report,Medium,27,5,2025-03-03
5959,4049,Account Access,Critical,1,2,2024-01-05
5960,47116,Billing,High,60,2,2022-08-07
5961,34864,Account Access,Low,4,3,2022-06-24
5962,47032,Feature Request,High,52,5,2025-03-14
5963,25756,Feature Request,Medium,27,2,2023-05-01
5964,43990,Feature Request,Low,38,2,2022-09-03
5965,35868,Billing,Low,56,1,2024-01-27
5966,14376,Account Access,Low,20,4,2022-05-07
5967,43088,Bug Report,Low,34,3,2023-07-20
5968,25999,Billing,Low,37,1,2023-07-18
5969,10045,Login Issue,Critical,48,1,2022-03-04
5970,8693,Billing,High,40,2,2023-06-23
5971,37040,Performance,Low,22,1,2023-08-11
5972,18461,Feature Request,Critical,42,2,2024-04-21
5973,34240,Feature Request,High,37,4,2024-06-14
5974,25784,Performance,High,33,3,2023-01-12
5975,34559,Billing,Low,60,2,2024-10-13
5976,41706,Account Access,Low,37,1,2023-01-04
5977,25918,Performance,Medium,55,2,2023-10-05
5978,47384,Login Issue,Critical,11,2,2023-07-01
5979,27444,Feature Request,Medium,31,3,2025-01-31
5980,6299,Feature Request,Critical,50,2,2022-10-24
5981,25599,Bug Report,Low,30,3,2022-11-04
5982,7238,Login Issue,Critical,7,3,2022-10-01
5983,29000,Login Issue,Low,61,5,2023-01-21
5984,20365,Billing,Medium,66,4,2025-02-04
5985,41602,Performance,Medium,29,1,2024-04-17
5986,48928,Performance,Medium,54,1,2023-05-30
5987,24776,Billing,Critical,55,1,2024-05-07
5988,27875,Feature Request,Medium,61,5,2022-06-03
5989,21650,Account Access,High,52,4,2024-07-14
5990,49418,Feature Request,High,3,1,2022-02-26
5991,49470,Login Issue,High,1,5,2024-10-17
5992,45530,Bug Report,High,42,4,2024-02-23
5993,35307,Login Issue,Medium,63,1,2022-05-18
5994,19281,Login Issue,High,26,2,2023-09-08
5995,4782,Performance,Low,34,2,2025-03-30
5996,11052,Feature Request,High,6,3,2024-07-25
5997,4198,Bug Report,Medium,25,1,2024-11-24
5998,46571,Billing,Critical,62,3,2024-10-12
5999,3010,Performance,High,63,1,2022-05-03
6000,2786,Performance,High,30,4,2024-02-19
6001,37792,Feature Request,Critical,48,2,2022-06-19
6002,47766,Billing,Low,43,1,2025-02-07
6003,6535,Billing,Medium,35,3,2024-10-11
6004,36499,Account Access,High,46,2,2024-02-12
6005,18943,Performance,Medium,48,1,2022-03-16
6006,5408,Billing,Critical,70,3,2024-08-20
6007,26821,Performance,Critical,21,2,2022-08-10
6008,28497,Login Issue,Critical,11,5,2022-07-04
6009,43584,Bug Report,Critical,37,5,2023-08-09
6010,49981,Bug Report,Low,6,1,2022-04-29
6011,11186,Performance,High,65,5,2023-02-02
6012,46794,Billing,High,39,5,2024-11-07
6013,11883,Billing,Critical,56,2,2024-09-06
6014,42154,Bug Report,Critical,24,2,2024-03-26
6015,37312,Account Access,Critical,2,3,2022-10-21
6016,21441,Login Issue,Critical,56,5,2022-07-25
6017,4672,Bug Report,Critical,35,3,2023-01-22
6018,34491,Bug Report,Medium,24,5,2024-09-29
6019,12413,Performance,Medium,45,3,2023-05-05
6020,39487,Login Issue,High,59,4,2024-01-04
6021,42923,Account Access,Critical,6,5,2023-11-05
6022,10784,Feature Request,Low,45,2,2022-09-20
6023,150,Performance,Medium,55,3,2022-05-27
6024,36262,Feature Request,Low,45,1,2022-06-15
6025,6338,Bug Report,Medium,22,4,2024-08-02
6026,41916,Login Issue,Critical,67,4,2024-01-07
6027,21542,Feature Request,Critical,47,3,2023-10-20
6028,20833,Bug Report,Medium,21,3,2024-05-31
6029,9949,Feature Request,High,69,1,2024-10-26
6030,45791,Login Issue,High,13,1,2023-01-15
6031,10690,Login Issue,Medium,48,5,2024-01-01
6032,24256,Billing,High,7,3,2024-04-20
6033,692,Login Issue,High,6,5,2023-01-20
6034,12141,Login Issue,High,40,4,2024-04-04
6035,33092,Performance,Critical,24,1,2024-10-01
6036,31782,Billing,Medium,26,2,2022-06-12
6037,15522,Performance,High,23,5,2024-05-09
6038,34827,Billing,Critical,37,1,2024-11-22
6039,314,Performance,Low,21,1,2023-12-18
6040,24058,Feature Request,Critical,66,1,2025-02-27
6041,15308,Billing,High,59,5,2022-02-15
6042,12768,Billing,Critical,27,1,2022-06-12
6043,30851,Bug Report,High,62,1,2024-05-19
6044,15447,Billing,Critical,62,3,2024-04-09
6045,36324,Performance,Low,53,4,2025-02-25
6046,2484,Account Access,Critical,45,5,2022-04-16
6047,43447,Performance,Medium,12,1,2022-03-16
6048,26232,Billing,Critical,43,4,2023-08-25
6049,24489,Billing,Medium,2,2,2024-05-07
6050,10270,Performance,Critical,40,1,2024-09-07
6051,11173,Feature Request,Critical,9,1,2024-11-14
6052,766,Feature Request,Low,32,1,2023-03-13
6053,17537,Billing,Critical,60,2,2023-11-22
6054,15949,Login Issue,Medium,38,3,2023-06-03
6055,30297,Feature Request,Low,36,4,2023-11-24
6056,28189,Bug Report,Medium,61,4,2022-06-16
6057,586,Login Issue,Critical,36,4,2023-07-22
6058,24104,Login Issue,Critical,8,4,2024-01-16
6059,30456,Feature Request,Low,30,1,2022-01-14
6060,11864,Account Access,Critical,55,3,2024-06-02
6061,30094,Bug Report,Low,13,4,2024-04-01
6062,42943,Login Issue,High,4,3,2024-01-12
6063,49146,Performance,Critical,24,5,2023-09-13
6064,39727,Performance,Low,25,5,2025-01-09
6065,41477,Feature Request,High,49,4,2022-01-07
6066,34822,Performance,High,38,4,2023-05-10
6067,17242,Feature Request,High,69,1,2024-03-06
6068,1136,Feature Request,Low,47,2,2024-02-20
6069,38777,Billing,High,54,3,2025-04-11
6070,19584,Billing,Medium,21,5,2025-04-08
6071,4511,Performance,Critical,22,3,2024-01-19
6072,27954,Login Issue,Medium,48,5,2023-01-08
6073,10996,Feature Request,Critical,42,4,2023-11-03
6074,10373,Performance,Medium,68,2,2024-10-14
6075,33049,Account Access,Low,34,3,2024-10-04
6076,40333,Feature Request,Low,15,4,2023-03-26
6077,24225,Performance,Low,47,5,2022-10-22
6078,2510,Login Issue,Medium,7,3,2024-01-26
6079,5790,Feature Request,Medium,35,1,2025-03-23
6080,8002,Login Issue,Critical,31,2,2025-01-29
6081,16992,Bug Report,Critical,71,3,2023-04-21
6082,24811,Billing,Low,5,2,2023-05-23
6083,43054,Billing,Medium,41,3,2024-11-19
6084,453,Login Issue,High,46,3,2025-01-23
6085,27444,Bug Report,Low,66,5,2023-03-16
6086,14618,Bug Report,Medium,50,2,2023-06-24
6087,49870,Performance,Medium,14,2,2022-02-09
6088,34809,Billing,High,19,5,2025-03-11
6089,44652,Performance,Medium,36,4,2023-05-04
6090,18139,Bug Report,Medium,55,1,2024-07-27
6091,21200,Login Issue,High,27,2,2025-03-28
6092,3308,Account Access,Low,32,5,2022-04-06
6093,15976,Login Issue,High,17,3,2024-11-13
6094,19450,Feature Request,High,14,2,2023-12-30
6095,8429,Performance,Critical,66,1,2022-02-24
6096,39734,Bug Report,High,65,4,2022-08-04
6097,8757,Performance,Low,39,2,2023-02-23
6098,22305,Login Issue,Medium,37,4,2024-07-17
6099,2441,Billing,Critical,14,3,2023-04-28
6100,1071,Feature Request,Medium,13,5,2024-09-08
6101,6572,Feature Request,Low,25,1,2023-01-13
6102,34721,Performance,High,68,4,2023-07-13
6103,20789,Feature Request,Low,23,4,2025-04-03
6104,2546,Performance,Critical,8,5,2024-11-13
6105,28164,Login Issue,Medium,63,3,2022-05-31
6106,39638,Billing,Medium,14,2,2022-06-18
6107,45131,Account Access,Medium,16,4,2022-07-17
6108,17009,Bug Report,Low,43,4,2022-09-02
6109,3181,Performance,Medium,71,4,2022-10-11
6110,45866,Billing,Medium,53,4,2024-04-21
6111,9236,Feature Request,Critical,30,1,2024-06-29
6112,14995,Login Issue,Low,63,1,2022-01-22
6113,22965,Feature Request,Low,57,5,2022-10-12
6114,33874,Login Issue,Low,29,3,2024-01-02
6115,9842,Performance,High,29,1,2024-04-07
6116,36623,Bug Report,High,69,5,2022-12-18
6117,14308,Account Access,Critical,53,3,2023-09-05
6118,7679,Billing,Low,69,1,2024-11-10
6119,22844,Feature Request,Critical,2,5,2023-11-17
6120,23782,Billing,Low,25,3,2022-09-15
6121,13823,Feature Request,Critical,20,1,2024-03-01
6122,47626,Billing,Low,52,4,2023-12-30
6123,11258,Feature Request,Medium,11,4,2023-04-14
6124,3423,Bug Report,Low,38,3,2024-04-17
6125,13964,Login Issue,High,71,1,2022-01-24
6126,35946,Login Issue,Medium,15,5,2024-11-29
6127,5018,Performance,Medium,55,3,2024-03-12
6128,48638,Bug Report,Critical,40,4,2023-10-16
6129,1463,Performance,Low,3,2,2022-01-08
6130,42467,Account Access,Low,20,5,2023-03-18
6131,35697,Performance,Low,20,2,2022-09-04
6132,45873,Account Access,Low,65,5,2023-06-05
6133,12872,Account Access,Low,66,4,2024-11-14
6134,49601,Bug Report,High,65,3,2023-07-14
6135,21969,Login Issue,Medium,2,5,2022-12-14
6136,47835,Account Access,High,56,5,2024-11-12
6137,43986,Account Access,Critical,38,1,2024-07-03
6138,31968,Bug Report,High,11,4,2022-11-30
6139,5797,Login Issue,Medium,17,2,2024-04-16
6140,47182,Performance,High,60,4,2024-05-14
6141,3631,Performance,Medium,39,2,2024-09-29
6142,41932,Login Issue,Medium,43,1,2022-04-24
6143,48965,Feature Request,High,11,1,2023-06-10
6144,30018,Bug Report,Critical,27,5,2024-04-26
6145,49089,Feature Request,High,60,3,2022-01-02
6146,26724,Bug Report,High,51,3,2022-09-14
6147,31640,Billing,High,38,5,2022-12-04
6148,27926,Account Access,Medium,66,3,2023-10-05
6149,49441,Feature Request,Critical,29,4,2023-01-09
6150,41335,Performance,High,15,2,2022-03-05
6151,47064,Login Issue,Low,71,5,2022-06-02
6152,18353,Account Access,Critical,50,3,2025-01-10
6153,43263,Feature Request,Critical,27,3,2022-01-09
6154,14531,Account Access,Critical,70,1,2024-08-01
6155,399,Billing,Critical,1,2,2022-02-17
6156,32909,Bug Report,Critical,29,5,2024-07-20
6157,9557,Performance,High,19,1,2023-10-04
6158,47119,Login Issue,Critical,34,2,2022-07-15
6159,48767,Performance,Critical,40,4,2023-02-02
6160,46187,Billing,Medium,36,4,2023-06-22
6161,42667,Login Issue,Medium,23,3,2023-01-23
6162,13673,Bug Report,Critical,40,5,2022-11-09
6163,15783,Feature Request,Medium,9,4,2022-08-10
6164,5842,Bug Report,Medium,61,4,2023-07-23
6165,2874,Billing,High,31,5,2023-07-10
6166,25218,Account Access,Critical,40,3,2023-11-11
6167,21111,Bug Report,Low,55,4,2024-12-31
6168,8598,Login Issue,Medium,70,5,2024-12-17
6169,4018,Feature Request,High,43,4,2022-06-13
6170,44748,Bug Report,High,33,1,2024-07-23
6171,40246,Account Access,Medium,61,5,2024-03-01
6172,6192,Bug Report,Medium,40,5,2022-08-05
6173,24563,Account Access,Low,29,3,2022-05-26
6174,3113,Performance,High,41,5,2024-10-14
6175,13791,Login Issue,High,48,5,2022-03-11
6176,47390,Performance,Critical,7,1,2023-10-25
6177,49438,Account Access,Medium,9,2,2024-01-16
6178,39075,Performance,Critical,34,5,2024-08-01
6179,17859,Login Issue,Low,52,2,2024-08-20
6180,19763,Performance,High,43,2,2023-01-04
6181,2109,Billing,High,19,5,2023-09-21
6182,26717,Account Access,Medium,13,1,2022-11-28
6183,7164,Billing,Medium,40,2,2022-06-20
6184,26708,Bug Report,Critical,32,3,2025-03-06
6185,19253,Feature Request,Low,72,3,2024-12-29
6186,1066,Login Issue,Low,21,3,2024-07-29
6187,40375,Billing,Low,38,1,2022-12-30
6188,15054,Bug Report,Low,60,4,2024-08-05
6189,11000,Feature Request,High,31,4,2023-05-01
6190,20202,Account Access,Low,38,5,2024-06-06
6191,14011,Billing,Low,30,5,2022-07-08
6192,5830,Performance,Medium,68,4,2023-07-03
6193,32785,Performance,Medium,36,3,2024-06-08
6194,3431,Performance,Low,41,4,2022-09-16
6195,16513,Performance,Medium,65,2,2024-11-17
6196,20103,Performance,Low,56,3,2024-01-28
6197,46236,Login Issue,High,33,5,2022-08-28
6198,25698,Login Issue,Medium,71,4,2023-02-02
6199,33116,Performance,Medium,33,2,2022-07-18
6200,48659,Account Access,Medium,26,1,2024-08-12
6201,34443,Bug Report,Critical,65,1,2024-07-19
6202,48686,Performance,High,66,3,2025-02-26
6203,46397,Account Access,High,71,2,2024-06-15
6204,5719,Bug Report,Low,52,3,2024-10-31
6205,42494,Account Access,High,5,4,2023-02-12
6206,13303,Feature Request,Medium,54,3,2024-10-08
6207,3040,Account Access,Low,16,4,2024-08-03
6208,44901,Billing,Low,22,2,2023-08-25
6209,35874,Feature Request,Low,54,2,2024-04-02
6210,4896,Feature Request,Critical,29,1,2024-05-16
6211,18476,Performance,High,17,2,2023-05-10
6212,38049,Feature Request,Critical,42,5,2022-09-11
6213,31127,Performance,High,21,1,2024-10-30
6214,13790,Performance,High,52,4,2023-06-25
6215,30066,Performance,Low,19,2,2023-05-13
6216,38725,Bug Report,Medium,69,3,2023-02-15
6217,19217,Bug Report,High,46,4,2023-10-12
6218,15755,Performance,High,36,4,2022-12-10
6219,17583,Performance,High,66,3,2022-05-21
6220,15283,Bug Report,Medium,28,4,2024-09-28
6221,41421,Billing,Low,56,4,2024-01-04
6222,46206,Performance,Critical,17,3,2024-07-14
6223,36880,Feature Request,Low,49,2,2023-10-06
6224,19950,Account Access,Medium,51,3,2024-03-23
6225,6308,Feature Request,Medium,44,2,2025-01-01
6226,9774,Login Issue,Critical,55,2,2025-03-12
6227,30465,Feature Request,Critical,49,5,2023-01-21
6228,30274,Login Issue,Critical,4,4,2024-10-04
6229,15429,Performance,Critical,58,5,2025-01-01
6230,6848,Performance,High,35,4,2023-08-09
6231,16046,Feature Request,Medium,7,2,2023-05-10
6232,46602,Feature Request,Critical,22,2,2025-01-22
6233,17501,Login Issue,Medium,8,2,2024-01-23
6234,275,Billing,Medium,70,5,2022-08-02
6235,31048,Feature Request,High,44,3,2022-01-11
6236,43952,Performance,Low,19,5,2024-03-29
6237,7547,Billing,High,72,1,2022-02-22
6238,16312,Performance,Critical,21,5,2024-04-20
6239,49957,Billing,Medium,5,2,2024-10-22
6240,8745,Bug Report,Low,46,1,2022-12-08
6241,7767,Feature Request,High,59,1,2022-12-19
6242,49507,Account Access,High,26,3,2024-06-03
6243,31665,Billing,Low,59,3,2023-11-14
6244,38930,Login Issue,Critical,48,2,2023-07-02
6245,30258,Billing,Critical,11,4,2024-06-15
6246,14007,Billing,Low,19,3,2024-02-15
6247,8007,Bug Report,Low,29,1,2024-01-30
6248,6475,Feature Request,Critical,27,3,2023-05-12
6249,8995,Feature Request,Low,4,4,2024-02-10
6250,32564,Billing,Critical,60,2,2023-02-07
6251,12155,Feature Request,High,65,1,2025-03-06
6252,41563,Feature Request,Medium,25,2,2022-11-27
6253,48683,Billing,High,4,5,2023-10-18
6254,27467,Billing,High,7,5,2023-05-17
6255,12848,Bug Report,Critical,36,3,2024-12-28
6256,32727,Account Access,Medium,36,4,2022-02-03
6257,21252,Login Issue,Critical,30,3,2024-02-11
6258,20685,Account Access,Critical,52,2,2022-06-14
6259,29417,Performance,High,55,3,2024-07-28
6260,5757,Account Access,High,23,2,2025-03-02
6261,6073,Billing,Critical,31,4,2022-04-26
6262,26864,Billing,Low,39,2,2025-01-01
6263,14714,Performance,Critical,10,3,2022-10-24
6264,12632,Bug Report,High,42,4,2022-03-10
6265,40968,Feature Request,Low,41,1,2022-11-19
6266,25171,Bug Report,Low,56,4,2022-08-10
6267,46128,Feature Request,High,3,1,2024-03-18
6268,23186,Billing,Critical,25,1,2024-06-22
6269,27497,Billing,Low,58,4,2024-08-18
6270,22173,Login Issue,Critical,37,3,2022-09-08
6271,915,Billing,Low,63,2,2023-10-24
6272,17601,Bug Report,Low,56,3,2022-07-18
6273,26848,Login Issue,Medium,69,2,2022-09-16
6274,27870,Billing,High,44,3,2023-02-11
6275,4960,Account Access,Low,61,5,2024-10-08
